חותמת זמן,העדפה 1,העדפה 2,העדפה 3,העדפה 4,העדפה 5,שיבוץ סופי
07/06/2021 23:53:54,חיל האוויר,"ימ""ל 1044",חיל מודיעין,חיל הים,חיל האחזקה,חיל האחזקה
07/06/2021 23:54:53,חיל האוויר,חיל מודיעין,"מפא""ת",חיל תקשוב,,חיל תקשוב
07/06/2021 23:55:32,חיל מודיעין,"מצו""ב",חיל האוויר,חיל תקשוב,חיל הים,חיל האוויר
07/06/2021 23:55:50,חיל מודיעין,חיל הים,חיל האחזקה,חיל האוויר,,חיל מודיעין
07/06/2021 23:58:47,חיל מודיעין,"ימ""ל 1044",חיל הרפואה,,,חיל הלוגיסטיקה
07/06/2021 23:58:49,חיל מודיעין,"ימ""ל 1044","מצו""ב",חיל האוויר,חיל תקשוב,חיל מודיעין
08/06/2021 00:01:30,חיל תקשוב,חיל האוויר,חיל הים,חיל האחזקה,,חיל האוויר
08/06/2021 00:07:16,חיל מודיעין,חיל האוויר,חיל הים,חיל תקשוב,חיל האחזקה,חיל האוויר
08/06/2021 00:10:35,רפאל,חיל מודיעין,חיל תקשוב,חיל האוויר,חיל הים,חיל תקשוב
08/06/2021 00:13:36,חיל מודיעין,חיל הים,חיל האוויר,חיל תקשוב,חיל האחזקה,חיל האוויר
08/06/2021 00:14:26,"ימ""ל 1044",חיל מודיעין,"ימ""ל 1014","מצו""ב",חיל האוויר,חיל מודיעין
08/06/2021 00:14:54,"מצו""ב",חיל האוויר,חיל תקשוב,חיל מודיעין,"ימ""ל 1044",חיל האוויר
08/06/2021 00:15:08,חיל מודיעין,חיל האוויר,"מצו""ב",חיל תקשוב,חיל הים,חיל האוויר
08/06/2021 00:17:20,חיל האוויר,חיל הים,חיל האחזקה,,,חיל האוויר
08/06/2021 00:30:13,חיל מודיעין,חיל האוויר,חיל תקשוב,"מצו""ב",חיל הים,חיל הים
08/06/2021 00:32:08,"ימ""ל 1044",חיל מודיעין,חיל האוויר,חיל הים,,חיל האוויר
08/06/2021 00:32:56,חיל האחזקה,חיל תקשוב,חיל האוויר,"מצו""ב",חיל הים,חיל האוויר
08/06/2021 00:52:42,"ימ""ל 1079",חיל מודיעין,"ימ""ל 1044",חיל האחזקה,חיל האוויר,חיל האחזקה
08/06/2021 01:42:13,חיל מודיעין,חיל תקשוב,חיל האוויר,"ימ""ל 1014","ימ""ל 1044",חיל האוויר
08/06/2021 02:10:17,חיל האוויר,חיל הים,ימ״ל 1600,,,חיל הלוגיסטיקה
08/06/2021 06:03:09,"ימ""ל 1079",חיל האוויר,רפאל,חיל תקשוב,חיל הים,חיל תקשוב
08/06/2021 06:12:26,"ימ""ל 1044",חיל מודיעין,"ימ""ל 1014",חיל תקשוב,חיל האוויר,"ימ""ל 1044"
08/06/2021 06:22:45,"ימ""ל 1079",חיל מודיעין,חיל מודיעין,"מצו""ב",חיל האוויר,חיל האוויר
08/06/2021 06:35:01,חיל הרפואה,חיל הרפואה,,חיל הרפואה,חיל הרפואה,חיל הרפואה
08/06/2021 06:43:38,חיל מודיעין,"ימ""ל 1079","ימ""ל 1014","מפא""ת",חיל תקשוב,"מצו""ב"
08/06/2021 06:44:34,"ימ""ל 1014",חיל מודיעין,חיל מודיעין,רפאל,חיל האוויר,חיל מודיעין
08/06/2021 06:49:57,"ימ""ל 1044","ימ""ל 1014",חיל מודיעין,חיל תקשוב,חיל האוויר,חיל מודיעין
08/06/2021 07:01:32,חיל מודיעין,"מצו""ב",חיל מודיעין,חיל האוויר,,חיל מודיעין
08/06/2021 07:09:08,חיל האוויר,"מפא""ת",חיל הים,חיל האחזקה,,חיל האוויר
08/06/2021 07:19:13,חיל מודיעין,"ימ""ל 1044",חיל תקשוב,חיל האוויר,"מצו""ב",חיל מודיעין
08/06/2021 07:24:22,חיל האוויר,חיל הים,חיל מודיעין,,,חיל הים
08/06/2021 07:37:47,"ימ""ל 1079",רפאל,חיל תקשוב,חיל האוויר,חיל הים,חיל תקשוב
08/06/2021 07:39:46,חיל האוויר,חיל האוויר,חיל מודיעין,חיל האחזקה,חיל האחזקה,חיל האחזקה
08/06/2021 07:42:39,חיל תקשוב,חיל האחזקה,,,,חיל האחזקה
